Station,Deployment,Samples
100,1,18.0
100,2,18.0
100,3,17.0
100,4,18.0
100,5,23.0
100,6,8.0
100,7,21.0
100,8,14.0
100,9,7.0
100,10,19.0
100,11,27.0
100,12,7.0
100,13,0.0
100,14,17.0
100,15,42.0
100,16,18.0
100,17,20.0
100,18,29.0
101,1,16.0
101,2,7.0
101,3,13.0
101,4,5.0
102,1,42.0
102,2,6.0
102,3,39.0
103,1,1.0
103,2,7.0
104,1,0.0
105,1,1.0
106,1,22.0
106,2,12.0
106,3,1.0
106,4,17.0
106,5,2.0
106,6,21.0
106,7,17.0
106,8,30.0
106,9,23.0
106,10,35.0
106,11,21.0
106,12,4.0
106,13,25.0
106,14,12.0
106,15,2.0
106,16,29.0
106,17,23.0
106,18,29.0
106,19,0.0
106,20,6.0
106,21,12.0
106,22,6.0
106,23,14.0
106,24,20.0
106,25,2.0
107,1,28.0
107,2,11.0
107,3,16.0
107,4,14.0
107,5,30.0
107,6,34.0
107,7,10.0
107,8,40.0
107,9,6.0
107,10,37.0
107,11,60.0
109,1,3.0
109,2,1.0
109,3,2.0
109,4,1.0
109,5,9.0
109,6,2.0
111,1,15.0
111,2,19.0
111,3,21.0
111,4,6.0
111,5,11.0
111,6,2.0
111,7,8.0
111,8,19.0
111,9,23.0
111,10,15.0
111,11,21.0
111,12,24.0
111,13,33.0
111,14,12.0
113,1,5.0
113,2,12.0
114,1,3.0
114,2,1.0
114,3,7.0
114,4,3.0
115,1,9.0
115,2,29.0
116,1,2.0
116,2,8.0
117,1,4.0
118,1,29.0
121,1,25.0
121,2,26.0
121,3,21.0
121,4,59.0
121,5,56.0
121,6,31.0
121,7,46.0
121,8,5.0
121,9,6.0
121,10,30.0
121,11,19.0
121,12,44.0
121,13,32.0
121,14,55.0
121,15,40.0
121,16,35.0
122,1,18.0
123,1,4.0
124,1,21.0
125,1,11.0
126,1,9.0
126,2,4.0
126,3,0.0
128,1,31.0
128,2,34.0
128,3,6.0
128,4,43.0
128,5,16.0
128,6,37.0
128,7,32.0
129,1,0.0
129,2,0.0
130,1,47.0
131,1,21.0
133,1,8.0
134,1,16.0
134,2,27.0
134,3,5.0
134,4,15.0
134,5,35.0
134,6,5.0
134,7,30.0
134,8,29.0
134,9,30.0
134,10,32.0
134,11,4.0
134,12,31.0
134,13,20.0
134,14,24.0
134,15,36.0
134,16,1.0
134,17,4.0
134,18,19.0
134,19,0.0
134,20,6.0
134,21,9.0
134,22,3.0
134,23,6.0
135,1,2.0
136,1,6.0
138,6,40.0
139,1,10.0
139,2,32.0
139,3,28.0
139,4,57.0
139,5,10.0
139,6,25.0
139,7,36.0
139,8,31.0
139,9,34.0
139,10,2.0
139,11,10.0
139,12,43.0
139,13,45.0
139,14,27.0
139,15,44.0
141,2,46.0
141,3,1.0
141,4,11.0
142,1,6.0
142,2,24.0
142,3,8.0
142,4,5.0
142,5,8.0
142,6,7.0
142,7,2.0
142,8,7.0
142,9,4.0
142,10,1.0
142,11,4.0
142,12,2.0
142,13,4.0
142,14,17.0
142,15,17.0
142,16,3.0
142,17,5.0
142,18,12.0
142,19,29.0
142,20,6.0
142,21,3.0
142,22,22.0
142,23,11.0
142,24,8.0
142,25,2.0
142,26,18.0
144,1,67.0
144,2,19.0
144,3,72.0
144,4,107.0
144,5,103.0
144,6,79.0
144,7,88.0
144,8,41.0
144,9,70.0
144,10,44.0
144,11,3.0
144,12,59.0
144,13,104.0
144,14,18.0
144,15,59.0
144,16,127.0
146,1,4.0
146,2,5.0
146,3,4.0
146,4,2.0
146,5,5.0
146,6,9.0
146,7,2.0
146,8,2.0
146,9,4.0
146,10,1.0
146,11,1.0
146,12,3.0
146,13,7.0
147,1,1.0
147,2,23.0
147,3,6.0
147,4,5.0
147,5,1.0
147,6,23.0
147,7,4.0
147,8,0.0
147,9,26.0
147,10,31.0
147,11,39.0
147,12,27.0
147,13,30.0
147,14,3.0
147,15,39.0
147,16,25.0
147,17,40.0
148,1,3.0
149,1,3.0
151,1,3.0
152,1,0.0
152,2,1.0
153,1,11.0
153,2,1.0
153,3,1.0
155,1,16.0
155,2,1.0
155,3,16.0
155,4,15.0
155,5,8.0
155,6,28.0
155,7,2.0
155,8,8.0
155,9,10.0
155,10,1.0
155,11,12.0
156,1,1.0
156,2,33.0
156,3,37.0
156,4,36.0
156,5,33.0
156,6,1.0
156,7,23.0
156,8,5.0
156,9,18.0
156,10,20.0
157,1,27.0
157,2,21.0
157,3,18.0
157,4,25.0
157,5,25.0
157,6,27.0
157,7,22.0
157,8,26.0
157,9,2.0
157,10,22.0
157,11,60.0
158,1,15.0
158,2,42.0
158,3,55.0
158,4,5.0
158,5,51.0
158,6,44.0
158,7,47.0
158,8,57.0
158,9,57.0
158,10,18.0
158,11,37.0
158,12,41.0
161,1,10.0
161,2,7.0
161,3,9.0
162,1,37.0
162,2,32.0
162,3,27.0
162,4,39.0
162,5,9.0
162,6,8.0
162,7,29.0
162,8,23.0
162,9,11.0
162,10,40.0
162,11,19.0
162,12,26.0
162,13,11.0
162,14,28.0
162,15,33.0
163,1,14.0
163,2,4.0
163,3,6.0
163,4,7.0
163,5,24.0
163,6,13.0
163,7,19.0
164,1,1.0
164,2,1.0
165,1,5.0
165,2,6.0
165,3,1.0
165,4,5.0
165,5,3.0
165,6,1.0
165,7,1.0
166,1,456.0
166,2,452.0
166,3,556.0
166,4,278.0
166,5,80.0
166,6,139.0
166,7,213.0
166,8,202.0
166,9,22.0
167,1,16.0
167,2,20.0
167,3,17.0
168,1,51.0
168,2,9.0
168,3,3.0
168,4,37.0
168,5,27.0
168,6,32.0
168,7,18.0
168,8,43.0
168,9,40.0
168,10,9.0
168,11,82.0
168,12,48.0
169,1,11.0
170,1,49.0
172,1,3.0
172,2,2.0
174,1,35.0
176,1,14.0
176,2,26.0
178,1,0.0
179,1,35.0
179,2,8.0
179,3,19.0
179,4,18.0
179,5,31.0
179,6,32.0
179,7,1.0
179,8,33.0
179,9,23.0
179,10,18.0
179,11,49.0
179,12,15.0
179,13,5.0
179,14,10.0
179,15,0.0
180,1,24.0
180,2,3.0
181,1,32.0
181,2,15.0
181,3,7.0
181,4,17.0
181,5,0.0
181,6,27.0
181,7,26.0
181,8,27.0
181,9,5.0
181,10,36.0
181,11,6.0
181,12,24.0
181,13,28.0
181,14,24.0
181,15,1.0
181,16,3.0
181,17,26.0
181,18,6.0
182,1,12.0
184,1,0.0
185,1,21.0
185,2,20.0
185,3,5.0
185,4,15.0
185,5,19.0
185,6,22.0
185,7,14.0
185,8,21.0
185,9,12.0
185,10,27.0
185,11,9.0
185,12,1.0
185,13,9.0
186,1,1.0
186,2,33.0
186,3,34.0
186,4,39.0
186,5,7.0
186,6,11.0
187,1,10.0
187,2,8.0
187,3,15.0
187,4,12.0
187,5,12.0
187,6,8.0
187,7,9.0
187,8,1.0
187,9,1.0
188,1,10.0
188,2,5.0
188,3,2.0
188,4,3.0
188,5,4.0
188,6,2.0
188,7,10.0
188,8,11.0
188,9,16.0
188,10,10.0
189,1,1.0
189,2,1.0
189,3,0.0
189,4,1.0
189,5,1.0
189,6,4.0
189,7,3.0
189,8,0.0
190,1,26.0
190,2,6.0
191,1,3.0
191,2,0.0
191,3,15.0
191,4,16.0
191,5,0.0
191,6,5.0
191,7,1.0
191,8,10.0
191,9,8.0
191,10,1.0
191,11,9.0
191,12,13.0
191,13,13.0
191,14,26.0
191,15,24.0
191,16,0.0
191,17,22.0
191,18,2.0
191,19,9.0
191,20,10.0
193,1,8.0
195,1,25.0
196,1,30.0
196,2,25.0
196,3,11.0
196,4,20.0
196,5,31.0
196,6,23.0
196,7,23.0
196,8,7.0
196,9,22.0
197,1,34.0
197,2,24.0
197,3,32.0
197,4,40.0
197,5,13.0
197,6,26.0
197,7,34.0
197,8,22.0
197,9,11.0
198,1,16.0
198,2,5.0
198,3,11.0
198,4,2.0
198,5,13.0
198,6,5.0
198,7,15.0
198,8,19.0
198,9,19.0
201,1,6.0
201,2,31.0
201,3,62.0
201,4,15.0
201,5,26.0
201,6,35.0
201,7,34.0
202,1,10.0
202,2,0.0
202,3,13.0
202,4,20.0
202,5,1.0
202,6,9.0
202,7,5.0
202,8,6.0
202,9,0.0
202,10,24.0
202,11,9.0
205,1,40.0
205,2,116.0
205,3,912.0
205,4,841.0
205,5,820.0
205,6,834.0
206,1,4.0
208,1,4.0
210,1,11.0
210,2,34.0
210,3,41.0
212,1,7.0
213,1,12.0
213,2,27.0
213,3,14.0
213,4,7.0
213,5,8.0
215,1,28.0
215,2,18.0
215,3,22.0
215,4,17.0
216,1,26.0
218,1,0.0
219,1,0.0
219,2,0.0
219,3,1.0
220,1,18.0
220,2,28.0
220,3,15.0
220,4,4.0
220,5,13.0
222,1,19.0
222,2,17.0
222,3,22.0
222,4,20.0
222,5,2.0
222,6,22.0
223,1,0.0
225,1,8.0
225,2,9.0
225,3,24.0
225,4,34.0
229,1,2.0
231,1,33.0
232,1,33.0
233,1,5.0
233,2,5.0
233,3,5.0
233,4,5.0
233,5,2.0
233,6,9.0
233,7,1.0
234,1,11.0
235,1,25.0
236,1,5.0
236,2,26.0
236,3,30.0
